Name,Price
Mtk 10.1inch Detachable 2GB+32GB Android Laptop Pc Touch Screen,"₦ 75,999"
DELL XPS 15 9500 CORE I7 1TB 32GB 10TH GEN 4GB NVIDIA GTX 1650,"₦ 985,000"
Hp 250 G4 Intel Core I3 - 4GB RAM - 500GB HDD Windows 10 Laptop - Black- 32GB Flash- Mouse- Fashion Sport Watch,"₦ 135,000"
Hp Intel-Corei5 1TB -12GB-HD Smart Touch-Backlit + BAG,"₦ 260,000"
"Hp 15 PC - Intel Celeron Quad Core - 500GB HDD - 4GB RAM+32GB Flash,Mouse,Fashion Sport Watch,USB Light - Windows 10 Home","₦ 98,000"
TSTAR Windows 10.1 Tablets 4GB RAM 128GB ROM With Detachable Keyboard,"₦ 109,500"
"Hp 15, Intel Core I3, 2.4Ghz, 1TB HDD, 4GB Ram+ 32GB Flash, Mouse, USB Light For Keyboard- Webcam, Bluetooth, DVDRW, 15.6"",Win10","₦ 138,000"
"Hp 15 - Intel Pentium Dual Core - 1TB HDD - 4GB RAM - Windows 10 HOME + 32GB Flash - White- Bag, Mouse - USB Light","₦ 120,000"
"Hp Notebook 15- Intel Core I3 (8GB RAM/1TB HDD) 15.6"", Touch Screen, Windows 10+BAG","₦ 168,000"
Hp ENVY 13 Intel Core I5 256GB SSD 8GB RAM Reader Touchscreen/Backlit Keyboard Windows 10,"₦ 395,000"
"Hp 15 Intel Core I3 12GB,1TB HDD Windows 10 Laptop+ BAG AND 32GB FLASH","₦ 178,000"
"Hp 15- Intel Celeron,QUAD CORE (4GB RAM,500GB HDD+32GB Flash Drive,Fashion Sport Watch,USB Light) Windows 10 -Black Colour","₦ 98,000"
"Diamond 14.0"" 4Gb/500GB Intel Celeron J1900 Windows10 Diamond Laptop","₦ 119,999"
"Hp Notebook 15 Intel Core I3 (8GB RAM, 1TB HDD) 32GB Flash+Mouse+USB Light For Keyboard 15.6-Inch Windows 10 Black Colour","₦ 155,000"
"Hp 14-cf3062 Intel® Core™ I3-1005G1 4GB RAM 1TB HDD 14"" Win 10 + Bag + 32GB Flash Drive","₦ 209,990"
Lenovo Ideapad 110-15ISK Intel Pentium -2.1Ghz (4GB 500GB HDD +32gb Flash Drive+ USB Light For Keyboard) Windows 10 - Black,"₦ 106,000"
"Hp 15 Intel Pentium 1TB HDD/4GB RAM,15.6'' Touch, No Dvd, Win 10+32GB FLASH","₦ 135,000"
"Hp 15 Intel Pentium Silver (8GB RAM,1 TB HDD)Touchscreen,Wins10","₦ 220,000"
"Hp Pavilion 15 Intel Pentium Quad Core (4GB,500GB HDD+ 32GB Flash) Windows 10 Laptop + Free Bag- Mouse- USB Light For Keyboard, Red","₦ 112,000"
"Hp Notebook 15 Intel Corei3 1TB HDD, 4GB DVD Writer Window 10","₦ 160,000"
Hp 15 Intel Corei3 1TB/ 8gb RAM Touchscreen Windows 10,"₦ 175,000"
"Hp 15 AMD 500GB HDD/4GB RAM, DVD, 15.6'' Windows 10+32GB FLASH","₦ 99,500"
"Asus VivoBook X541SA- Intel Pentium Quad Core- 500GB HDD- 4GB RAM+32GB Flash,Mouse, USB Light For Keyboard- Windows 10- Silver","₦ 125,000"
"Hp 15 Intel Celeron 1.6GHz (4GB Ram,500GB HDD) 32GB Flash+Mouse+FashionWatch 15.6-Inch Screen Windows 10 +32gb Flash","₦ 98,000"
"Hp Notebook 15 Intel Core I3 (8GB RAM, 1TB HDD) 32GB Flash+Mouse+USB Light For Keyboard 15.6-Inch Windows 10 Black Colour","₦ 155,700"
"Hp 250 G5 Intel Core I3 (4GB RAM, 500GB HDD) 15.6-Inch Windows 10 LaptopBag +32GB Flash- Mouse- USB Light","₦ 135,000"
DELL Vostro 14 Intel Core I3(8GB RAM 1TB HDD) 114.1 Wins 10,"₦ 228,800"
"Hp 15-BS234WM,Intel Pentium,500gb,4gb,15.6,Win 10,RED COLOUR","₦ 124,000"
Hp Pavilion 11 X360 Intel® Pentium®+ 32GB Flash+ Mouse+ USB Light For Keyboard 4GB 500GB HDD WIN 10 HOME + Free 32gb Flash Drive,"₦ 133,000"
"DELL Inspiron 14 Intel Core I3, 4GB RAM/1TB 14'' Win10+32GB FLASH","₦ 165,000"
"Hp Pavilion 15 Intel Pentium Quad Core (4GB,500GB HDD+ 32GB Flash) Windows 10 Laptop + Free Bag- Mouse- USB Light For Keyboard, Red","₦ 110,000"
Mtk 10.1inch Detachable 2GB+32GB Android Laptop Pc Touch Screen,"₦ 75,999"
"Hp Envy 13 Intel Core I7-8565U,1.8GHz,1tb Ssd/16gb,2GB Nvidia MX250,Win10","₦ 585,800"
Hp Pavilion 11 X360 Intel® Pentium®+ 32GB Flash+ Mouse+ USB Light For Keyboard 4GB 500GB HDD WIN 10 HOME + Free 32gb Flash Drive,"₦ 133,000"
"Hp 15, Intel Core I3, 2.4Ghz, 1TB HDD, 4GB Ram+ 32GB Flash, Mouse, USB Light For Keyboard- Webcam, Bluetooth, DVDRW, 15.6"",Win10","₦ 140,000"
"Hp 15-ra001nia, 15.6"", 1.6Ghz (Intel Pentium N3710 PROCESSOR, 4GB RAM, 500GB Windows 10 + Free 32g Flash Drive","₦ 120,500"
"Diamond 14.0"" 4Gb/500GB Intel Celeron J1900 Windows10 Diamond Laptop","₦ 111,999"
Lenovo Ideapad V130 CELERON 4GB RAM 500GB HDD 15.6” Win10 + Bag,"₦ 197,000"
"Hp 15-ay000nia Intel Celeron-QUAD CORE (4GBRAM,500GB HDD+32GB Flash Drive,Mouse,Fashion Sport Watch,USB Light) 15.6-Inch Windows 10 - Black WINDOWS 10","₦ 98,000"
"Hp 250 G6-Intel Core I3 (4GB RAM, 500GB HDD+ 32GB Flash+ Mouse+ USB Light For Keyboard) 15.6-Inch Windows 10 Laptop","₦ 138,000"
Hp Pavilion 15 Intel Core I5 1TB HDD 16GB RAM TOUCH Windows 10,"₦ 360,000"
DELL 14 Intel Celeron 500GB HDD 4GB RAM - Win10 + 32GB Flash,"₦ 150,000"
"Hp Pavilion 15 Intel Pentium Quad Core (4GB,500GB HDD+ 32GB Flash) Windows 10 Laptop + Free Bag- Mouse- USB Light For Keyboard, Red","₦ 109,000"
"DELL Inspiron - 15.6"" - Intel Core I7 6500U - 16 GB RAM - 1 TB HDD - Blth - 4GB Radeon - Win 10 - Touch+SWITZ ANTIVIRUS+FREE INTERNET SECURITY","₦ 300,000"
Hp Pavilion 11 X360 Intel® Pentium®+ 32GB Flash+ Mouse+ USB Light For Keyboard 4GB 500GB HDD WIN 10 HOME + Free 32gb Flash Drive,"₦ 132,000"
"Hp 15 Intel Core I3 2.0 GHZ 500GB HDD, 4GB RAM, Bluetooth® 4.0, Webcam, DTS Studio Sound™ Windows 10+FREE 32GB FLASH Drive","₦ 153,900"
"DELL Inspirion ,Intel Core I5,1tb Hdd,8gb Ram,Touchscreen,Backlit Keyboard,finger Print","₦ 300,000"
"Hp Full HD 14"" Intel Pentium RED 4GB Memory, 500GB HDD And Windows 10 + Multiple USB HUB + Laptop Skin","₦ 118,000"
"Hp Notebook 15, Intel 8th Gen Core I5 Processor, 1.6ghz Up To 3.4ghz, 12GB RAM, 2TB HDD Windows 10","₦ 210,000"
"Hp 15- Intel Pentium 4GB RAM/500GB HDD,15.6'' Win 10+32GB FLASH","₦ 135,000"
"Diamond 14.0"" 4GB/500GB Intel Celeron J1900 Windows10 Diamond Laptop","₦ 109,999"
"DELL Precision 3541 MW I5(16gb, 256gb, 4gb Nvidia Wins 10pro","₦ 399,000"
"Hp 15-f272wm 2.16GHZ, Intel Pentium,15.6-inch 4GB RAM, 500GB HDD Windows 10+BAG","₦ 116,000"
"DELL Xps 13 Intel I5, 8gb 256gbssd, Backlit, Windows 10 Pro","₦ 370,000"
"Hp 250 G6 Core I3 ,500GB HDD 8GB RAM 15.6-Inch Win 10 + Mouse","₦ 149,000"
"Hp ENVY X360 CONVERTIBLE INTEL CORE I7 7200U 15.6"" 1TB HDD 12GB RAM","₦ 355,000"
"Hp Elitebook 850 G6 Core I7-8665U,8TH GEN 1.90GHz 512GB 16GB 15.6INCH WINS 10PRO","₦ 555,000"
Hp (15) 15.6-Inch Intel Core -i3 2.0GHz 8GB RAM 1TB HDD Windows 10 + LED Lamp + Free Mouse,"₦ 232,590"
"Hp 240 G7 Intel Core I3 (1TB HDD,4GB RAM) Windows 10 Pro","₦ 240,000"
"Hp Pavilion 15 X360 Intel Core I3 (1TB HDD, 8GB) 15.6-Inch Windows 10+switz Antivirus + Free Internet Security","₦ 180,000"
Hp Notebook 15 Intel Core I7 1TB HDD/8GB RAM+16GB Optane Win 10+BAG,"₦ 260,500"
"Diamond 14.0"" 4GB/500GB Intel Celeron J1900 Windows10 Diamond Laptop","₦ 111,999"
"Hp Stream 11 Intel Celeron 32GB 4GB ""11"" Win10-PURPLE","₦ 133,000"
"Hp Intel Pentium, Quad Core, 500GB HDD, 4GB RAM, DVD, Touchscreen, Bluetooth, Webcam,Windows 10 + Bag","₦ 125,000"
"Hp 250 G5 Intel Core I3 (4GB RAM, 500GB HDD) 15.6-Inch Windows 10 Laptop +32GB Flash- Mouse- USB Light","₦ 135,000"
Hp Notebook 15 Intel Core I7 1TB HDD/8GB RAM+16GB Optane Win 10,"₦ 255,000"
